candidate_id,rank,score,reasoning
CAND_0000031,1,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 6.0yr — JD sweet spot. Currently: Recommendation Systems Engineer @ Swiggy. Tier-2 institution (SRM University). Semantic Fit: 73%
CAND_0002025,2,1.0,Rare combo: Reranking+Dense retrieval. Stable tenure (avg 35mo/role). 5.9yr — within JD range. Currently: Senior AI Engineer @ Apple. Tier-1 institution (IIIT Bangalore). Active OSS (GitHub 97/100). Short notice (30d). Semantic Fit: 73%. [Watch: Active OSS contributor (GitHub 97/100)]
CAND_0005260,3,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 5.2yr — within JD range. Currently: Senior NLP Engineer @ Netflix. Tier-1 institution (IIIT Bangalore). Platform test: Prompt Engineering=81/100. Semantic Fit: 70%
CAND_0005649,4,1.0,Rare combo: End-to-end retrieval ranking. 7.4yr — JD sweet spot. Currently: Senior Data Scientist @ Sarvam AI. Tier-2 institution (RV College of Engineering). Active OSS (GitHub 81/100). Semantic Fit: 76%. [Watch: Active OSS contributor (GitHub 81/100)]
CAND_0008425,5,1.0,Rare combo: LLM fine-tuning specialist. Stable tenure (avg 31mo/role). 7.8yr — JD sweet spot. Currently: Senior NLP Engineer @ Ola. Tier-1 institution (BITS Pilani). Semantic Fit: 67%
CAND_0012957,6,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 4.9yr experience. Currently: Search Engineer @ Razorpay. Tier-2 institution (Delhi College of Engineering). Platform test: LangChain=86/100. Semantic Fit: 72%. [Watch: 120d notice; Below JD min experience (4.9yr)]
CAND_0014858,7,1.0,Rare combo: LLM fine-tuning specialist. Strong upward career arc. 4.9yr experience. Currently: AI Research Engineer @ Aganitha. Platform test: Sentence Transformers=82/100. Semantic Fit: 67%. [Watch: Active OSS contributor (GitHub 64/100); Below JD min experience (4.9yr)]
CAND_0016659,8,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 4.4yr experience. Currently: ML Engineer @ Glance. Tier-1 institution (IIT Hyderabad). Semantic Fit: 68%. [Watch: No verified contact; Below JD min experience (4.4yr)]
CAND_0018499,9,1.0,Rare combo: Reranking+Dense retrieval. 7.2yr — JD sweet spot. Currently: Senior Machine Learning Engineer @ Zomato. Tier-1 institution (NIT Surathkal). Active OSS (GitHub 95/100). Platform test: Deep Learning=94/100. Short notice (15d). Semantic Fit: 75%. [Watch: Active OSS contributor (GitHub 95/100)]
CAND_0018722,10,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 6.6yr — JD sweet spot. Currently: Recommendation Systems Engineer @ Saarthi.ai. Tier-2 institution (Manipal Institute of Technology). Active OSS (GitHub 94/100). Semantic Fit: 71%. [Watch: Active OSS contributor (GitHub 94/100)]
CAND_0021491,11,1.0,Rare combo: LLM fine-tuning specialist. Strong upward career arc. 6.1yr — JD sweet spot. Currently: AI Research Engineer @ Wysa. Platform test: Python=81/100. Semantic Fit: 67%. [Watch: Active OSS contributor (GitHub 64/100)]
CAND_0024466,12,1.0,Rare combo: LLM fine-tuning specialist. Strong upward career arc. 5.2yr — within JD range. Currently: Search Engineer @ PharmEasy. Tier-2 institution (Anna University). Platform test: Reinforcement Learning=89/100. Semantic Fit: 68%. [Watch: 120d notice]
CAND_0026532,13,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 4.8yr experience. Currently: Recommendation Systems Engineer @ Zomato. Tier-1 institution (Georgia Tech). Platform test: TTS=91/100. Semantic Fit: 69%. [Watch: Below JD min experience (4.8yr)]
CAND_0030827,14,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 5.4yr — within JD range. Currently: Senior Data Scientist @ Freshworks. Tier-2 institution (Jadavpur University). Semantic Fit: 72%. [Watch: 120d notice]
CAND_0030953,15,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 7.8yr — JD sweet spot. Currently: Search Engineer @ Nykaa. Tier-2 institution (SRM University). Platform test: Learning to Rank=85/100. Semantic Fit: 69%
CAND_0031593,16,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 7.8yr — JD sweet spot. Currently: Search Engineer @ Genpact AI. Tier-2 institution (SRM University). Semantic Fit: 70%
CAND_0032216,17,1.0,Rare combo: Production ML+Retrieval ops. 6.1yr — JD sweet spot. Currently: ML Engineer @ upGrad. Tier-1 institution (IISc Bangalore). Short notice (30d). Semantic Fit: 68%
CAND_0033861,18,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 8.0yr — JD sweet spot. Currently: Senior NLP Engineer @ Mad Street Den. Tier-2 institution (Thapar University). Platform test: Reinforcement Learning=90/100. Short notice (30d). Semantic Fit: 72%. [Watch: Low response rate (16%)]
CAND_0037566,19,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 6.9yr — JD sweet spot. Currently: Machine Learning Engineer @ LinkedIn. Tier-2 institution (Jadavpur University). Active OSS (GitHub 73/100). Platform test: Pinecone=82/100. Short notice (15d). Semantic Fit: 69%. [Watch: Active OSS contributor (GitHub 73/100)]
CAND_0037944,20,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 4.9yr experience. Currently: Senior Data Scientist @ Vedantu. Tier-1 institution (IISc Bangalore). Active OSS (GitHub 83/100). Platform test: Vector Search=92/100. Short notice (30d). Semantic Fit: 68%. [Watch: Active OSS contributor (GitHub 83/100); Below JD min experience (4.9yr)]
CAND_0039383,21,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 7.1yr — JD sweet spot. Currently: Applied ML Engineer @ Meesho. Tier-1 institution (IISc Bangalore). Active OSS (GitHub 86/100). Platform test: Hugging Face Transformers=86/100. Semantic Fit: 71%. [Watch: Active OSS contributor (GitHub 86/100)]
CAND_0039754,22,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 16.2yr experience. Currently: Senior Applied Scientist @ Meta. Tier-1 institution (IIT Hyderabad). Active OSS (GitHub 78/100). Platform test: Fine-tuning LLMs=96/100. Short notice (30d). Semantic Fit: 72%. [Watch: Active OSS contributor (GitHub 78/100)]
CAND_0041568,23,1.0,Rare combo: Recommendation+Retrieval. 5.2yr — within JD range. Currently: Search Engineer @ Haptik. Tier-1 institution (IIT Kharagpur). Platform test: Feature Engineering=86/100. Semantic Fit: 75%
CAND_0041610,24,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 6.7yr — JD sweet spot. Currently: Recommendation Systems Engineer @ Zoho. Short notice (30d). Semantic Fit: 69%
CAND_0041611,25,1.0,Rare combo: Reranking+Dense retrieval. 6.4yr — JD sweet spot. Currently: Staff Machine Learning Engineer @ Locobuzz. Platform test: LlamaIndex=94/100. Short notice (30d). Semantic Fit: 69%. [Watch: Inactive 205d; Low response rate (7%)]
CAND_0042029,26,1.0,"JD-matched: Embeddings, Ranking, Semantic Search. Strong upward career arc. 6.5yr — JD sweet spot. Currently: Senior Data Scientist @ Flipkart. Tier-2 institution (PES University). Active OSS (GitHub 79/100). Platform test: YOLO=83/100. Semantic Fit: 75%. [Watch: Active OSS contributor (GitHub 79/100)]"
CAND_0042506,27,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 4.2yr experience. Currently: Search Engineer @ Verloop.io. Tier-2 institution (PES University). Platform test: OpenCV=84/100. Short notice (15d). Semantic Fit: 73%. [Watch: Active OSS contributor (GitHub 64/100); Below JD min experience (4.2yr)]
CAND_0043228,28,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 6.8yr — JD sweet spot. Currently: Applied ML Engineer @ Zoho. Tier-1 institution (IIT Madras). Platform test: Image Classification=84/100. Short notice (30d). Semantic Fit: 71%
CAND_0044883,29,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 6.3yr — JD sweet spot. Currently: AI Engineer @ Mad Street Den. Active OSS (GitHub 70/100). Semantic Fit: 70%. [Watch: Active OSS contributor (GitHub 70/100)]
CAND_0045250,30,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 6.6yr — JD sweet spot. Currently: Applied ML Engineer @ Rephrase.ai. Platform test: Sentence Transformers=83/100. Short notice (15d). Semantic Fit: 71%
CAND_0046064,31,1.0,Rare combo: Reranking+Dense retrieval. Stable tenure (avg 35mo/role). 8.9yr — within JD range. Currently: Senior NLP Engineer @ Salesforce. Tier-1 institution (IIT Hyderabad). Active OSS (GitHub 67/100). Short notice (30d). Semantic Fit: 70%. [Watch: Active OSS contributor (GitHub 67/100)]
CAND_0046525,32,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 6.1yr — JD sweet spot. Currently: Senior Machine Learning Engineer @ Genpact AI. Tier-1 institution (IIT Hyderabad). Platform test: LangChain=96/100. Semantic Fit: 69%
CAND_0049896,33,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 7.3yr — JD sweet spot. Currently: Search Engineer @ Unacademy. Semantic Fit: 73%
CAND_0049978,34,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 6.6yr — JD sweet spot. Currently: Senior Software Engineer (ML) @ Sarvam AI. Active OSS (GitHub 69/100). Semantic Fit: 68%. [Watch: Active OSS contributor (GitHub 69/100)]
CAND_0051004,35,1.0,Rare combo: LLM fine-tuning specialist. Strong upward career arc. 4.7yr experience. Currently: Senior Data Scientist @ CRED. Tier-1 institution (IIT Kanpur). Platform test: Embeddings=90/100. Short notice (15d). Semantic Fit: 70%. [Watch: Below JD min experience (4.7yr)]
CAND_0053695,36,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 5.8yr — within JD range. Currently: Recommendation Systems Engineer @ Meesho. Tier-1 institution (IIT Delhi). Active OSS (GitHub 68/100). Short notice (15d). Semantic Fit: 71%. [Watch: Active OSS contributor (GitHub 68/100)]
CAND_0057563,37,1.0,Rare combo: Recommendation+Retrieval. 6.8yr — JD sweet spot. Currently: NLP Engineer @ Locobuzz. Tier-1 institution (BITS Pilani). Platform test: Deep Learning=81/100. Semantic Fit: 72%
CAND_0061265,38,1.0,Rare combo: Recommendation+Retrieval. 6.6yr — JD sweet spot. Currently: Recommendation Systems Engineer @ Zoho. Tier-1 institution (IIT Madras). Active OSS (GitHub 80/100). Platform test: Qdrant=85/100. Semantic Fit: 73%. [Watch: 120d notice; Active OSS contributor (GitHub 80/100)]
CAND_0061339,39,1.0,Rare combo: End-to-end retrieval ranking. Mobile career (avg 16mo/role). 4.2yr experience. Currently: Search Engineer @ Rephrase.ai. Tier-2 institution (VJTI Mumbai). Active OSS (GitHub 86/100). Semantic Fit: 71%. [Watch: Active OSS contributor (GitHub 86/100); Below JD min experience (4.2yr)]
CAND_0064270,40,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 4.2yr experience. Currently: Applied ML Engineer @ Verloop.io. Semantic Fit: 71%. [Watch: Below JD min experience (4.2yr)]
CAND_0064326,41,1.0,Rare combo: End-to-end retrieval ranking. Strong upward career arc. 7.6yr — JD sweet spot. Currently: Search Engineer @ Sarvam AI. Tier-2 institution (COEP Pune). Semantic Fit: 69%. [Watch: Active OSS contributor (GitHub 61/100)]
CAND_0064331,42,1.0,Rare combo: Reranking+Dense retrieval. Strong upward career arc. 4.2yr experience. Currently: Senior Software Engineer (ML) @ Swiggy. Tier-1 institution (IIT Kanpur). Platform test: Forecasting=79/100. Short notice (30d). Semantic Fit: 68%. [Watch: Below JD min experience (4.2yr)]
CAND_0065878,43,1.0,Rare combo: LLM fine-tuning specialist. Strong upward career arc. 7.8yr — JD sweet spot. Currently: Senior Data Scientist @ Niramai. Tier-2 institution (Manipal Institute of Technology). Short notice (15d). Semantic Fit: 67%
CAND_0069905,44,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 6.6yr — JD sweet spot. Currently: Applied ML Engineer @ Sarvam AI. Tier-2 institution (PES University). Semantic Fit: 71%
CAND_0070202,45,1.0,Rare combo: LLM fine-tuning specialist. Strong upward career arc. 5.1yr — within JD range. Currently: Machine Learning Engineer @ BYJU'S. Tier-1 institution (IIT Hyderabad). Platform test: Object Detection=89/100. Semantic Fit: 69%
CAND_0075249,46,1.0,Rare combo: Recommendation+Retrieval. Strong upward career arc. 6.2yr — JD sweet spot. Currently: Applied ML Engineer @ Zomato. Tier-1 institution (IIT Hyderabad). Platform test: Sentence Transformers=81/100. Semantic Fit: 69%
